part_id,part_number,part_name,part_category,supplier_id,unit_price,unit_of_measure,lead_time_days,is_critical,spec_revision,created_date,source_system
PART001,SR22-AVI-001,Garmin G1000 NXi Avionics Suite,AVIONICS,SUP001,45000.00,EA,90,TRUE,REV-C,2022-01-10,ERP_SAP
PART002,SR22-AVI-002,Garmin GFC 700 Autopilot,AVIONICS,SUP001,18500.00,EA,60,TRUE,REV-B,2022-01-15,ERP_SAP
PART003,SR22-AVI-003,Garmin GTX 345 Transponder,AVIONICS,SUP001,4200.00,EA,30,FALSE,REV-A,2022-02-01,ERP_SAP
PART004,SR22-ENG-001,Continental IO-550-N Engine,PROPULSION,SUP002,85000.00,EA,120,TRUE,REV-D,2021-06-01,ERP_SAP
PART005,SR22-ENG-002,Hartzell 3-Blade Prop Assembly,PROPULSION,SUP002,9800.00,EA,45,TRUE,REV-B,2021-06-05,ERP_SAP
PART006,SR22-ENG-003,Engine Mount Assembly,PROPULSION,SUP003,3200.00,EA,30,TRUE,REV-A,2022-03-10,ERP_SAP
PART007,SR22-AFR-001,Carbon Fiber Wing Skin Panel LH,AIRFRAME,SUP013,12500.00,EA,75,TRUE,REV-C,2020-11-01,ERP_SAP
PART008,SR22-AFR-002,Carbon Fiber Wing Skin Panel RH,AIRFRAME,SUP013,12500.00,EA,75,TRUE,REV-C,2020-11-01,ERP_SAP
PART009,SR22-AFR-003,Fuselage Forward Bulkhead,AIRFRAME,SUP014,8700.00,EA,60,TRUE,REV-B,2021-03-15,ERP_SAP
PART010,SR22-AFR-004,Windshield Assembly,AIRFRAME,SUP007,2900.00,EA,21,FALSE,REV-A,2022-07-20,ERP_SAP
PART011,SR22-LDG-001,Cleveland Main Gear Assembly,LANDING_GEAR,SUP005,14200.00,EA,45,TRUE,REV-C,2021-08-10,ERP_SAP
PART012,SR22-LDG-002,Nose Gear Strut Assembly,LANDING_GEAR,SUP005,6800.00,EA,45,TRUE,REV-B,2021-08-10,ERP_SAP
PART013,SR22-LDG-003,Wheel and Brake Assembly,LANDING_GEAR,SUP008,3400.00,EA,30,TRUE,REV-A,2022-01-05,ERP_SAP
PART014,SR22-HYD-001,Parker Hydraulic Pump Unit,HYDRAULIC,SUP003,7200.00,EA,45,TRUE,REV-B,2021-05-20,ERP_SAP
PART015,SR22-HYD-002,Hydraulic Reservoir Assembly,HYDRAULIC,SUP003,1850.00,EA,21,FALSE,REV-A,2021-05-20,ERP_SAP
PART016,SR22-ELC-001,Main Electrical Bus Assembly,ELECTRICAL,SUP006,5500.00,EA,30,TRUE,REV-C,2022-04-15,ERP_SAP
PART017,SR22-ELC-002,Alternator 60A,ELECTRICAL,SUP001,2800.00,EA,21,FALSE,REV-B,2022-04-20,ERP_SAP
PART018,SR22-ELC-003,Battery 24V Lead Acid,ELECTRICAL,SUP010,650.00,EA,14,FALSE,REV-A,2022-05-01,ERP_SAP
PART019,SR22-INT-001,Leather Seat Set (4-place),INTERIOR,SUP009,8900.00,SET,60,FALSE,REV-B,2022-06-10,ERP_SAP
PART020,SR22-INT-002,Instrument Panel Assembly,INTERIOR,SUP006,4300.00,EA,45,FALSE,REV-C,2022-06-15,ERP_SAP
PART021,SR22-INT-003,Carpet and Trim Kit,INTERIOR,SUP009,1200.00,KIT,30,FALSE,REV-A,2023-01-10,ERP_SAP
PART022,SR22-AFR-005,Horizontal Stabilizer Assembly,AIRFRAME,SUP014,16800.00,EA,90,TRUE,REV-B,2021-04-01,ERP_SAP
PART023,SR22-AFR-006,Vertical Fin Assembly,AIRFRAME,SUP014,9200.00,EA,90,TRUE,REV-A,2021-04-01,ERP_SAP
PART024,SR22-ENG-004,Oil Cooler Assembly,PROPULSION,SUP011,1450.00,EA,21,FALSE,REV-A,2023-02-15,ERP_SAP
PART025,SR22-AVI-004,ELT Artex 345 Emergency Locator,AVIONICS,SUP015,1890.00,EA,14,TRUE,REV-A,2023-03-01,ERP_SAP
PART026,SR22-SAF-001,Cirrus CAPS Parachute System,SAFETY,SUP002,-500.00,EA,30,TRUE,REV-D,2023-03-10,ERP_SAP
PART027,SR22-SAF-002,Seatbelt Harness Set,SAFETY,,780.00,SET,14,TRUE,REV-B,2022-09-05,ERP_SAP
PART028,SR22-ELC-004,,ELECTRICAL,SUP006,320.00,EA,7,FALSE,REV-A,2023-04-01,ERP_SAP
PART029,SR22-LDG-004,Shimmy Damper Assembly,LANDING_GEAR,SUP008,890.00,EA,21,FALSE,REV-A,2023-05-15,ERP_SAP
PART030,SR22-HYD-003,Brake Master Cylinder Set,HYDRAULIC,SUPXXX,1240.00,SET,14,FALSE,REV-A,2023-06-01,ERP_SAP
